Date,Open,High,Low,Close,Volume,QuoteVolume
"5/1/2021, 12:00:00 PM",57450.63000000,57851.35000000,57116.16000000,57492.99000000,2610.64791600,149972545.18494764
"5/1/2021, 1:00:00 PM",57492.99000000,57666.66000000,57335.75000000,57384.00000000,1270.11978700,72996206.46132240
"5/1/2021, 2:00:00 PM",57384.00000000,57834.37000000,57383.33000000,57816.90000000,1245.51622900,71816915.66122686
"5/1/2021, 3:00:00 PM",57816.91000000,58043.01000000,57673.00000000,57764.15000000,1804.40644900,104411639.63635862
"5/1/2021, 4:00:00 PM",57764.15000000,58005.09000000,57525.00000000,57611.00000000,1688.84288000,97535842.88031223
"5/1/2021, 5:00:00 PM",57613.10000000,57681.00000000,57220.67000000,57430.78000000,1778.75684400,102191958.23218960
"5/1/2021, 6:00:00 PM",57430.79000000,57500.00000000,56956.14000000,57356.58000000,2104.61355400,120502445.54070177
"5/1/2021, 7:00:00 PM",57356.59000000,57712.69000000,57218.00000000,57495.59000000,1801.17963300,103446453.88972953
"5/1/2021, 8:00:00 PM",57495.60000000,57767.00000000,57492.78000000,57569.99000000,1620.87320700,93422430.04823987
"5/1/2021, 9:00:00 PM",57567.34000000,57650.00000000,57400.35000000,57610.52000000,1179.34856100,67830126.05448022
"5/1/2021, 10:00:00 PM",57610.51000000,57998.97000000,57444.03000000,57770.31000000,1757.35549500,101482017.16773358
"5/1/2021, 11:00:00 PM",57770.32000000,57877.39000000,57641.50000000,57679.99000000,1187.49349700,68592041.76962054
"5/2/2021, 12:00:00 AM",57680.00000000,57690.00000000,57372.01000000,57451.58000000,1247.75219200,71821313.30676810
"5/2/2021, 1:00:00 AM",57451.57000000,57716.27000000,57243.65000000,57657.75000000,1203.54005700,69251974.98918444
"5/2/2021, 2:00:00 AM",57660.31000000,57939.00000000,57580.70000000,57800.37000000,1209.30609100,69868250.61874917
"5/2/2021, 3:00:00 AM",57797.35000000,57911.02000000,57371.12000000,57442.25000000,1595.86368300,91870711.05610250
"5/2/2021, 4:00:00 AM",57442.25000000,57488.04000000,57275.00000000,57415.60000000,1386.91281100,79581126.78340471
"5/2/2021, 5:00:00 AM",57415.60000000,57700.00000000,57415.60000000,57650.00000000,819.29079700,47198882.35007909
